twitter source account,Tweets ago,Date,Compound,Negative,Positive,Neutral,tweet_text
@CNN,100,Thu May 21 23:47:10 +0000 2020,-0.3724,0.118,0.0,0.882,The General Services Administration said in a letter that the Trump Organization didn't receive any relief on the l… https://t.co/a6DpLJXjQY
@CNN,99,Thu May 21 23:58:20 +0000 2020,0.0,0.0,0.0,1.0,First lady Melania Trump will take part in tonight's #CNNTownHall on coronavirus. She's expected to address the nat… https://t.co/Ms1tWMiGb4
@CNN,98,Fri May 22 00:00:11 +0000 2020,0.296,0.0,0.121,0.879,"How do you think the pandemic will change the classroom? Join @AndersonCooper and @DrSanjayGupta for ""Coronavirus:… https://t.co/sUYoQruM3F"
@CNN,97,Fri May 22 00:17:07 +0000 2020,-0.128,0.073,0.0,0.927,President Trump has announced that flags on federal buildings will be lowered to half-staff over the coming days to… https://t.co/ecQHdawAYH
@CNN,96,Fri May 22 00:23:36 +0000 2020,-0.7174,0.23,0.0,0.77,“This is not a joke... He’s conveying the worst possible message to people who cannot afford to be on the receiving… https://t.co/cnEAdjD6Qp
@CNN,95,Fri May 22 00:24:13 +0000 2020,-0.4404,0.132,0.0,0.868,"Ohio Gov. Mike DeWine on President Trump’s criticism of mail-in voting: ""My frame of reference frankly is very narr… https://t.co/6zK1fsIXQv"
@CNN,94,Fri May 22 00:25:34 +0000 2020,0.6802,0.0,0.21,0.79,"“In order to make sure this is not a humanitarian crisis, we need to have a response that covers 360 [degrees], all… https://t.co/oPUxi3WpFa"
@CNN,93,Fri May 22 00:26:58 +0000 2020,0.0,0.0,0.0,1.0,"Cafeterias will likely be closed with meals delivered to students in the classroom this fall, says Alberto M. Carva… https://t.co/BnJpPN9Tvr"
@CNN,92,Fri May 22 00:27:52 +0000 2020,0.0,0.0,0.0,1.0,"Here's a look at the business stories you need to read today.

➡️ Facebook says half of employees might be remote… https://t.co/mvp1lW5C3W"
@CNN,91,Fri May 22 00:38:25 +0000 2020,0.0,0.0,0.0,1.0,"Bugs crawling on your strawberries? That's normal, according to some experts, despite a recent TikTok trend that su… https://t.co/2QNwjyKJp3"
@CNN,90,Fri May 22 00:48:57 +0000 2020,-0.4404,0.132,0.0,0.868,Some unemployed workers say they’re now taking in more money from state and federal unemployment than they were wor… https://t.co/w2jA1wVn3z
@CNN,89,Fri May 22 00:49:53 +0000 2020,0.7579,0.0,0.255,0.745,"Dr. Anthony Fauci says positive early results from the phase 1 study of Moderna’s Covid-19 vaccine are a good sign,… https://t.co/nNTA05RCcZ"
@CNN,88,Fri May 22 00:50:34 +0000 2020,0.0,0.0,0.0,1.0,"""I think you're going to probably be seeing a little bit more of me and my colleagues...There was a little bit [of… https://t.co/XzsPVaWEJv"
@CNN,87,Fri May 22 00:53:26 +0000 2020,0.5423,0.0,0.22,0.78,"Dr. Anthony Fauci, the nation's top infectious disease expert, joined the #CNNTownHall to discuss the promising ear… https://t.co/Ot1GqyJRx2"
@CNN,86,Fri May 22 00:56:18 +0000 2020,-0.7236,0.187,0.0,0.813,"""Do you remember who you used to be? Before you were told that anyone could kill you? Before you were conditioned t… https://t.co/AEYiCr9pEi"
@CNN,85,Fri May 22 01:01:22 +0000 2020,0.0,0.0,0.0,1.0,"🚫 Lettuce, tomatoes, cucumbers

✅ Mini liquor bottles, beer, mini cereal boxes, candy

https://t.co/gnf6jl3EA4"
@CNN,84,Fri May 22 01:08:55 +0000 2020,-0.4173,0.152,0.0,0.848,"“Unless you have symptoms or have a reason to believe you have been exposed to someone, there really is no reason t… https://t.co/779TAZtm6d"
@CNN,83,Fri May 22 01:14:15 +0000 2020,-0.0772,0.093,0.078,0.829,A Michigan judge has dismissed a lawsuit filed by the Republican leaders of the state's Legislature challenging Dem… https://t.co/5JG8YDp8wJ
@CNN,82,Fri May 22 01:31:07 +0000 2020,0.0,0.0,0.0,1.0,"Here's a look at the business stories you need to read today.

➡️ Facebook says half of employees might be remote… https://t.co/PpCrkdnKxP"
@CNN,81,Fri May 22 01:47:13 +0000 2020,-0.6249,0.163,0.0,0.837,The possibility that The Globe theater in London may never be able to reopen its doors after a funding crisis broug… https://t.co/OAHh5WFs88
@CNN,80,Fri May 22 01:49:15 +0000 2020,-0.3353,0.137,0.0,0.863,"Epidemiologist Julia Marcus says ""abstinence-only messaging"" and trying to totally eliminate risk can backfire. ""If… https://t.co/yrdH3p6Rb7"
